Protest Name,Country Name,Date,Locality Name,School Name,Description of Protest,Primary Source,Additional Sources,LAT,LONG,Geographic Context (F1),Protest Location (F2),Event Type (F3),Actors Involved (F4),Causes (F5),Targets (F6),Characteristics (F7),unique-key
Comoros-April-2018,Comoros,13-Apr-18,Moroni,Moroni,"Students join others to protest the deportation of citizens of Mayotte from Comoros, and to demand the reclamation of Mayotte.",http://www.africanews.com/2018/04/13/comoros-protests-to-re-claim-french-island-mayotte//,,-11.717216,43.2473146,Capital City,Public Space,Protest or demonstration,Students,Government policy,Federal government,,Comoros-1
Congo - Kinshasa-February-2008,Congo - Kinshasa,13-Feb-08,Kisangani,University of Kisangani,Teachers go on strike to demand an increase in salaries.,https://www.radiookapi.net/emissions-2/2008/02/13/chronique-%25c2%25abetudiant-%25c2%25bb-greve-illimitee-a-lunikis,,0.5138171,25.1763175,Major Urban Area,College or University,Strike OR Boycott,Teachers or Academic Staff,"School staff working conditions (salaries, security),Other",School authority,,Congo - Kinshasa-16
Congo - Kinshasa-May-2018,Congo - Kinshasa,22-May-18,Kisangani,Higher Institute of Buildings and Public Works,Students protest against police brutality.,http://www.lephareonline.net/kisangani-nouvelles-echauffourees-entre-policiers-etudiants/,,-4.4193539,15.3092643,Major Urban Area,College or University,Protest or demonstration,Students,Other,Local government,,Congo - Kinshasa-30
Congo - Kinshasa-April-2017,Congo - Kinshasa,28-Apr-17,Bunia,Higher Institute of Medical Technology,Students march to protest the killing of a student.,https://www.radiookapi.net/2017/04/28/actualite/societe/bunia-marche-de-protestation-apres-le-meurtre-dun-etudiant,,1.574278,30.2397336,Major Urban Area,College or University,March,Students,Solidarity protest,,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-5
Congo - Kinshasa-March-2006,Congo - Kinshasa,2-Mar-06,Kisangani,University of Kisangani,Students riot following the death of a student.,https://www.radiookapi.net/sans-categorie/2006/03/02/le-deces-par-accident-d%25e2%2580%2599un-etudiant-a-la-base-d%25e2%2580%2599une-vive-tension-a-kisangani,,0.5138171,25.1763175,Major Urban Area,College or University,"Riot,Vandalism or Property damage",Students,Solidarity protest,,,Congo - Kinshasa-20
Congo - Kinshasa-May-2007,Congo - Kinshasa,7-May-07,Goma,Katindo,Students protest against the shooting death of a fellow student.,https://www.radiookapi.net/sans-categorie/2007/05/07/goma-manifestations-detudiants-contre-linsecurite,,-1.658501,29.2204548,Town,College or University,Protest or demonstration,Students,Solidarity protest,,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-23
Congo - Kinshasa-February-2017,Congo - Kinshasa,22-Feb-17,Limete,La Providence school,"Students ransack and loot school following the death of a student, who was beaten to death by a teacher.",http://www.africanews.com/2016/09/29/congo-public-university-students-and-lecturers-on-strike-for-close-to-a-month/,,-4.3483947,15.3407334,Town,Secondary School,Riot,Students,Solidarity protest,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets),Injury occurred",Congo - Kinshasa-1
Congo - Kinshasa-November-2017,Congo - Kinshasa,10-Nov-17,Bunia,Bunia University,Students demonstrate in protest of the ministry of land affairs' decision to concede some of the university's land to a trader.,https://www.radiookapi.net/2017/11/10/actualite/societe/unibu-une-manifestation-des-etudiants-contre-la-cession-du-terrain-de,,1.574278,30.2397336,Town,College or University,Protest or demonstration,Students,Other,Federal government,"Non-lethal violence (e.g., tear gas, rubber bullets),Death occurred,Injury occurred",Congo - Kinshasa-17
Congo - Kinshasa-February-2013,Congo - Kinshasa,26-Feb-13,Lubao,Lubao University,Students protest against abusive remarks made by a school administrator.,https://www.radiookapi.net/actualite/2013/02/26/kasai-oriental-2-morts-dans-des-manifestations-estudiantines-lubao/,,-5.383454,25.7456852,Town,College or University,Protest or demonstration,Students,Other,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-22
Congo - Kinshasa-December-2015,Congo - Kinshasa,8-Dec-15,Wembo Nyama,"Higher Pedagogical Institute,Wembo Nyama",Students clash with the police after an officer beats up a student.,https://lemaximum.cd/sankuru-15-residences-de-policiers-incendies-par-des-etudiants/,,-4.1245647,24.5123841,Town,College or University,Vandalism or Property Damage,Students,Solidarity protest,Local government,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-28
Congo - Kinshasa-October-2010,Congo - Kinshasa,21-Oct-10,Bukavu,Evangelical University of Africa,Students protest the disappearance of their fellow student and human rights activist.,https://www.radiookapi.net/actualite/2010/10/21/bukavu-un-etudiant-de-luea-porte-disparu-ses-condisciples-dans-la-rue,,-2.5418172,28.8592708,Town,College or University,Protest or demonstration,Students,Solidarity protest,,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-25
Congo - Kinshasa-March-2007,Congo - Kinshasa,26-Mar-07,Lodja,Lodja University,Students clash with police after a student is killed by a police officer.,https://www.radiookapi.net/sans-categorie/2007/03/26/lodja-bagarre-entre-etudiants-et-policiers-un-mort,,-3.5245104,23.5966577,Town,College or University,Riot,Students,Solidarity protest,Local government,"Injury occurred,arrest or detention",Congo - Kinshasa-21
Congo - Kinshasa-January-2017,Congo - Kinshasa,12-Jan-17,Goma,Higher Institute of Medical Technology,Students from the Higher Institute of Medical Technology and the Higher Institute of Applied Technology clash after an alleged provocation. ,https://www.politico.cd/encontinu/2017/01/12/goma-etudiants-arretes-suite-aux-troubles-matin-campus-lac.html,,-1.658501,29.2204548,Town,College or University,Riot,Students,Other,,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-29
Congo - Kinshasa-April-2010,Congo - Kinshasa,20-Apr-10,Boma,Joseph Kasa-Vubu University,Students protests mismanagement at the university,http://www.infobascongo.net/beta/?p=3087,,-5.8396417,13.0702646,Town,College or University,Protest or demonstration,Students,"School quality (food, water, electricity)",School authority,,Congo - Kinshasa-2
Congo - Kinshasa-November-2007,Congo - Kinshasa,28-Nov-07,,Ministry of Higher Education and Universities,Lecturers go on strike to demand a salary increase.,https://www.radiookapi.net/emissions-2/2007/11/28/chronique-%25c2%25ab-etudiant-%25c2%25bb-radicalisation-de-la-greve-du-personnel-de-lesu,,-4.4419311,15.2662931,Nationwide,College or University,Strike OR Boycott,Teachers or Academic Staff,"School staff working conditions (salaries, security),Other",Federal government,"Non-lethal violence (e.g., tear gas, rubber bullets),Injury occurred",Congo - Kinshasa-24
Congo - Kinshasa-April-2016,Congo - Kinshasa,11-Apr-16,Tshopo,Higher Institute of Agricultural Studies Bengamisa,Students clash with the police over the arrest of a fellow student by the police.,https://www.radiookapi.net/2016/04/12/actualite/societe/tshopo-plus-de-10-blesses-apres-la-bagarre-entre-etudiants-et-policiers,,0.9718782,25.2111472,Nationwide,College or University,Riot,Students,Solidarity protest,Local government,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-11
Congo - Kinshasa-October-2017,Congo - Kinshasa,18-Oct-17,Kinshasa,University of Kinshasa,Students protest a 12-hour power blackout.,https://www.politico.cd/encontinu/2017/10/18/affrontements-a-lunikin-entre-policiers-etudiants.html,,-4.4193539,15.3092643,Capital City,College or University,Protest or demonstration,Students,"School quality (food, water, electricity)",School authority,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-26
Congo - Kinshasa-May-2016,Congo - Kinshasa,25-May-16,Kinshasa,Higher Institute of Applied Technology,Students protested against the arrest of a fellow student.,https://www.politico.cd/actualite/la-une/2016/05/27/ista-affrontement-entre-policiers-etudiants-tirs-gaz-lacrymogene-moment-temoignage.html,,-4.3069527,15.2849101,Capital City,College or University,Protest or demonstration,Students,Solidarity protest,Local government,"Non-lethal violence (e.g., tear gas, rubber bullets),Injury occurred",Congo - Kinshasa-27
Congo - Kinshasa-November-2016,Congo - Kinshasa,10-Nov-16,Kinshasa,Higher Institute of Statistics,Students protest against the increase in the school fees from USD 250 to USD 350.,https://www.politico.cd/actualite/la-une/2016/11/10/nouvelle-manifestation-etudiants-a-kinshasa-plusieurs-blesses-dont-reporter-de-politico-cd.html,,-4.4419311,15.2662931,Capital City,College or University,March,Students,School fees,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets),Injury occurred",Congo - Kinshasa-32
Congo - Kinshasa-March-2012,Congo - Kinshasa,13-Mar-12,Kinshasa,Higher Institute of Commerce,Students clash with police after the arrest of a fellow student.,https://www.radiookapi.net/actualite/2012/03/14/kasai-oriental-2-etudiants-policier-blesses-tshofa,,-4.3164423,15.2889726,Capital City,College or University,Protest or demonstration,Students,Solidarity protest,Local government,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-19
Congo - Kinshasa-May-2018,Congo - Kinshasa,10-May-18,Kinshasa,Higher Institute of Applied Technology,Students protest the rise in transportation prices. ,https://www.politico.cd/encontinu/2018/05/10/kinshasa-la-police-disperse-une-marche-des-etudiants-contre-la-hausse-du-prix-de-transports-en-commun.html,,-4.3069527,15.2849101,Capital City,College or University,March,Students,Economic issues,,Injury occurred,Congo - Kinshasa-33
Congo - Kinshasa-May-2017,Congo - Kinshasa,27-May-17,Kinshasa,Higher Institute of Applied Techniques (ISTA,Students clash with police after demanding the release of fellow students who were arrested.,https://www.radiookapi.net/2016/05/28/actualite/societe/kinshasa-echauffourees-lista-entre-policiers-et-etudiants-5-blesses,,-4.3233267,15.3317791,Capital City,College or University,Riot,Students,Solidarity protest,Local government,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-12
Congo - Kinshasa-May-2014,Congo - Kinshasa,7-May-14,Kinshasa,University of Kinshasa,Students protests against the deportation of Congo-Brazzaville natives. ,https://www.radiookapi.net/actualite/2014/05/07/la-police-disperse-une-marche-des-etudiants-contre-les-expulsions-de-brazzaville,,-4.4193539,15.3092643,Capital City,College or University,Protest or demonstration,Students,Government policy,Federal government,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-8
Congo - Kinshasa-April-2012,Congo - Kinshasa,11-Apr-12,Kinshasa,Higher Institute of Medical Technology,Students protest a rise in school fees.,https://www.radiookapi.net/actualite/2012/04/12/kinshasa-les-etudiants-de-listm-protestent-contre-laugmentation-des-frais-academiques,,-4.3069527,15.2849101,Capital City,College or University,Protest or demonstration,Students,School fees,School authority,,Congo - Kinshasa-18
Congo - Kinshasa-June-2016,Congo - Kinshasa,22-Jun-16,Kinshasa,Higher Institute of Commerce,Students march to demand the resignation of the president of the university. ,https://www.politico.cd/actualite/la-une/2016/06/22/urgent-plusieurs-centaines-detudiants-disperses-devant-siege-gouvernement.html,,-4.3164423,15.2889726,Capital City,College or University,March,Students,,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-31
Congo - Kinshasa-May-2018,Congo - Kinshasa,10-May-18,Kinshasa,University of Kinshasa,Students protest rising transportation prices by the Governor of Kinshasa. ,https://www.radiookapi.net/2018/05/10/actualite/securite/kinshasa-le-police-reprime-une-manifestation-des-etudiants-contre-la,,-4.4193539,15.3092643,Capital City,College or University,Protest or demonstration,Students,Economic issues,Local government,,Congo - Kinshasa-6
Congo - Kinshasa-September-2016,Congo - Kinshasa,21-Sep-16,Kinshasa,Lycée Madame de Sevigne,Opposition protestors ransack and set fire to a high school. They also stole administrative documents.,https://www.radiookapi.net/2016/09/21/actualite/societe/kinshasa-maker-mwangu-visite-une-ecole-saccagee-pendant-les,,-4.3443041,15.2331283,Capital City,Secondary School,Vandalism or Property Damage,Community Members,,,,Congo - Kinshasa-3
Congo - Kinshasa-August-2017,Congo - Kinshasa,7-Aug-17,Kinshasa,National Pedagogical University,Students urge lecturers to join the strike action of other university lecturers to put pressure on the government to speed up negotiations with professors' demands,https://www.radiookapi.net/2017/08/20/actualite/education/greve-des-professeurs-les-etudiants-de-lupn-reclament-un-service,,-4.4060501,15.2541894,Capital City,College or University,Strike OR Boycott,"Students,Teachers or Academic Staff",,Federal government,,Congo - Kinshasa-7
Congo - Kinshasa-January-2018,Congo - Kinshasa,24-Jan-18,Kinshasa,University of Kinshasa,Students protest a change in the school fees and demand that they be paid in US dollars.,https://www.matininfos.net/rdc-violentes-manifestations-mercredi-matin-a-luniversite-de-kinshasa/,,-4.4193539,15.3092643,Capital City,College or University,Protest or demonstration,Students,School fees,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets),Death occurred",Congo - Kinshasa-4
Congo - Kinshasa-July-2017,Congo - Kinshasa,21-Jul-17,Kinshasa,University of Kinshasa,Students protest the kidnapping of two students in the faculty of science,https://www.radiookapi.net/2017/07/22/actualite/securite/echauffourees-lunikin-la-police-annonce-linterpellation-du-cerveau,,-4.4193539,15.3092643,Capital City,College or University,Protest or demonstration,Students,Solidarity protest,,"Non-lethal violence (e.g., tear gas, rubber bullets),death occurred,Injury occurred",Congo - Kinshasa-10
Congo - Kinshasa-January-2011,Congo - Kinshasa,13-Jan-11,Kinshasa,University of Kinshasa,Students protest the death of a student.,https://www.radiookapi.net/actualite/2011/01/13/des-echauffourees-a-l%25e2%2580%2599unikin-apres-la-decouverte-du-corps-d%25e2%2580%2599un-etudiant,,-4.4193539,15.3092643,Capital City,College or University,"Protest or demonstration,Vandalism or property damage",Students,Solidarity protest,School authority,,Congo - Kinshasa-9
Congo - Kinshasa-September-2017,Congo - Kinshasa,14-Sep-17,Kinshasa,"University of Kinshasa,and National Pedagogical University",Lecturers go on strike with a list of demands for the government.,https://www.radiookapi.net/2017/09/18/actualite/education/rdc-consequences-de-la-greve-des-professeurs-de-lunikin-et-lupn,,-4.4193539,15.3092643,Capital City,College or University,Strike OR Boycott,Teachers or Academic Staff,,,"Non-lethal violence (e.g., tear gas, rubber bullets)",Congo - Kinshasa-13
Congo - Kinshasa-August-2007,Congo - Kinshasa,22-Aug-07,Mbuji Mayi,Mbuji Mayi University,"Students organize a sit-in to demand the dismissal of the management committee, who they accuse of mismanagement.",https://www.radiookapi.net/emissions-2/2007/08/22/chronique-%25c2%25ab-etudiant-%25c2%25bb-mecontentement-des-etudiants-de-luniversite-de-mbuji-mayi,,-6.1131605,23.6008,Capital City,College or University,Protest or demonstration,Students,"School quality (food, water, electricity)",School authority,"Non-lethal violence (e.g., tear gas, rubber bullets),Injury occurred",Congo - Kinshasa-15
Congo - Kinshasa-December-2015,Congo - Kinshasa,17-Dec-15,Mbuji Mayi,Mbuji Mayi University,Students clash with police after a driver almost collides with a fellow student's motorcycle,https://www.radiookapi.net/2015/12/18/actualite/securite/mbuji-mayi-les-echauffourees-entre-policiers-et-etudiants-font-4,,-6.1131605,23.6008,Capital City,College or University,Riot,Students,Solidarity protest,,"Non-lethal violence (e.g., tear gas, rubber bullets),Arrest or detention",Congo - Kinshasa-14
Congo- Brazzaville-June-2015,Congo- Brazzaville,5-Jun-15,"Brazzaville, Point Noire and Dolisie","Brazzaville,Point Noire and Dolisie",Students protest the cancellation of the high school certificate examination after the papers were leaked a day before the exams.,https://www.reuters.com/article/congo-exams/students-riot-after-congo-cancels-leaked-baccalaureate-exams-idUSL5N0YR3F120150605?feedType=RSS&feedName=technologySector,,-4.2633597,15.2428853,Nationwide,Public Space,Riot,Students,Other,Federal government,,Congo- Brazzaville-1
Congo- Brazzaville-February-2016,Congo- Brazzaville,16-Feb-16,Brazzaville,Loudima Institute for Technical and Vocational Training,"Namibian students of the Loudima Institute threaten suicide if the Namibian government does not expedite their return, due to poor living and learning conditions",https://www.newera.com.na/2016/02/16/loudima-students-suicide-threats/,,-4.1166037,13.0673833,Capital City,Vocational or Technical Schools,Protest or demonstration,Students,"School quality (food, water, electricity)","School authority, Federal government",Arrest or detention,Congo- Brazzaville-2
Cote d'lvoire-April-2016,Cote d'lvoire,12-Apr-16,Cocody,Felix Houphouet-Boigny University,Students protest in demand of better working conditions.,http://www.djelifaso.ci/cote-divoire-greve-a-luniversite-plusieurs-etudiants-arrete/,,5.3470499,-3.9852916,Major Urban Area,College or University,Protest or demonstration,Students,"School quality (food, water, electricity)",School authority,,Cote d'lvoire-12
Cote d'lvoire-January-1900,Cote d'lvoire,,Bouaké,Alassane Ouattara University,"Students block the Minister of Higher Education as he visits the university, to demand better living and learning conditions.",http://www.levraipatriote.com/2015/03/14/striking-students-of-alassane-ouattara-university-block-education-minister/,,7.6864226,-5.0667005,Major Urban Area,College or University,Protest or demonstration,Students,"School quality (food, water, electricity)",Federal government,"Non-lethal violence (e.g., tear gas, rubber bullets)",Cote d'lvoire-1
Cote d'lvoire-September-2017,Cote d'lvoire,18-Sep-17,Cocody,Felix Houphouet-Boigny University,The Student and School Federation of Côte d'Ivoire organized a road block to protest the rising enrollment costs in high schools and universities.,https://www.fratmat.info/index.php/nos-unes/marche-de-protestation-la-police-disperse-des-etudiants-a-abidjan,http://www.jda.ci/news/societe-societe-1438-manifestation-contre-les-frais-annexes-dinscription-marche-avorte-de-la-fesci,5.3470499,-3.9852916,Major Urban Area,College or University,Road block OR occupation,Students,School fees,School authority,Arrest or detention,Cote d'lvoire-3
Cote d'lvoire-April-2016,Cote d'lvoire,12-Apr-16,Koumassi (Abidjan),Koumassi,"Students protest a teachers' strike, and use the opportunity to demand for better living and working conditions in schools",http://news.abidjan.net/h/589102.html,,5.302975,-3.9419415,Major Urban Area,College or University,Protest or demonstration,Students,"School quality (food, water, electricity),accreditation or other school policies",,"Non-lethal violence (e.g., tear gas, rubber bullets)",Cote d'lvoire-14
Cote d'lvoire-November-2016,Cote d'lvoire,8-Nov-16,Duékoué,,Students protest the public services strike.,http://www.imatin.net/article/societe/cote-d-ivoire-affrontements-a-duekoue-lors-d-une-manifestation-contre-la-greve-des-fonctionnaires_45923_1478624587.html,LINK BROKEN,6.7473801,-7.3624598,Major Urban Area,"Secondary School,Government Property",Protest or demonstration,Students,,,,Cote d'lvoire-6
Cote d'lvoire-June-2018,Cote d'lvoire,6-Jun-18,Abidjan,National Institute of Youth and Sport,"Students protest at the National Institute of Youth and Sports, after a student died while playing sports.",https://news.abidjan.net/h/638965.html,,5.3599517,-4.0082563,Major Urban Area,Public Space,Protest or demonstration,Students,Solidarity protest,Federal government,"Non-lethal violence (e.g., tear gas, rubber bullets)",Cote d'lvoire-18
Cote d'lvoire-August-2017,Cote d'lvoire,16-Aug-17,Cocody,University of Cocody,Students march to demand the reopening and rehabilitation of university cities,http://news.abidjan.net/h/620684.html,,5.3470499,-3.9852916,Major Urban Area,College or University,Protest or demonstration,Students,"School quality (food, water, electricity)",School authority,"Non-lethal violence (e.g., tear gas, rubber bullets),Injury occurred,Arrest or detention",Cote d'lvoire-13
Cote d'lvoire-April-2010,Cote d'lvoire,4-Apr-10,Abidjan,Treichville school of Business and Management,Students protest the non-allocation of rooms to some students.,http://www.koffi.net/koffi/actualite/248404-Une-manifestation-detudiants-dispersee-par-la-police-au-Plateau.htm,LINK BROKEN,5.3599517,-4.0082563,Major Urban Area,College or University,Protest or demonstration,Students,Accreditation or other school policies,School authority,,Cote d'lvoire-5
Cote d'lvoire-February-2014,Cote d'lvoire,17-Feb-14,Cocody,Felix Houphouet-Boigny University,"Students protest en masse, causing class closures",http://news.educarriere.ci/news-8523-apres-la-manifestation-du-lundi-sur-le-campus-de-cocody-mian-agustin-sg-de-la-fesci-nous-ne-sommes-pas-encore-morts.html,,5.3470499,-3.9852916,Major Urban Area,College or University,Protest or demonstration,Students,,,"Non-lethal violence (e.g., tear gas, rubber bullets)",Cote d'lvoire-9
Cote d'lvoire-May-2015,Cote d'lvoire,11-May-15,Cocody,Felix Houphouet-Boigny University,Students demand the resumption of classes which were disrupted by a teachers strike.,https://www.connectionivoirienne.net/110088/cote-divoire-universite-la-police-disperse-une-manifestation-detudiants-devant-la-television-a-abidjan,,5.3470499,-3.9852916,Major Urban Area,College or University,Protest or demonstration,Students,Other,,,Cote d'lvoire-11
Cote d'lvoire-March-2015,Cote d'lvoire,13-Mar-15,Man,Man,"Teachers embark on a strike, which also leads to student demonstrations",http://news.abidjan.net/h/528693.html,,7.4064275,-7.5572231,Town,Public Space,"Protest or demonstration,Strike OR Boycott","Students, Teachers or Academic staff",,,,Cote d'lvoire-16
Cote d'lvoire-April-2017,Cote d'lvoire,12-Apr-17,Issia,Issia,Students stage a riot in refusal of writing the white paper examinations. This lead to the cancellation of the examinations.,http://aip.ci/cote-divoire-des-parents-deleves-condamnent-la-violence-a-lecole/,,6.4876142,-6.5836774,Town,Secondary School,Riot,Students,Other,,,Cote d'lvoire-15
Cote d'lvoire-May-2008,Cote d'lvoire,21-May-08,Vavoua,modern high school,Students go on rampage to avoid writing the white paper examinations,http://rti.ci/actualite_article.php?categorie=societe&id=10457&titre=cote-d-ivoire-de-nombreux-degats-lors-deune-manifestation-violente-des-eleves-a-vavoua&page=300,,7.3750631,-6.4769877,Town,Secondary School,Vandalism or Property Damage,Students,Other,,,Cote d'lvoire-17
Cote d'lvoire-January-1900,Cote d'lvoire,,Dabou,Chateaubriand College,Students protest to demand the release of a fellow student. The demonstrations began at Chateaubriand college and then spread to other high schools. ,http://www.rti.ci/info/region/21342/Les-replays-de-rti2_2495_26_madame-monsieur-bonsoir-de-rti-2-du-1er-fevrier-2018-par-willy-dumbo.html,,5.3262083,-4.3667907,Town,Secondary School,Protest or demonstration,Students,Solidarity protest,,,Cote d'lvoire-4
Cote d'lvoire-January-2018,Cote d'lvoire,15-Jan-18,,"Guiglo,Duékoué,Man and Agnibilékrou",Students protest to demand an end to the teachers' strike.,http://aip.ci/cote-divoire-des-eleves-manifestent-pour-la-reprise-des-cours/,,7.539989,-5.54708,Nationwide,"Secondary School,Government Property",Protest or demonstration,Students,Other,,Arrest or detention,Cote d'lvoire-7
Cote d'lvoire-May-2018,Cote d'lvoire,28-May-18,,Yamoussoukro,The Student and School Federation of Côte d'Ivoire protest nationwide to demand that the government fulfill the terms of the memorandum of understanding signed with students. ,http://cotedivoirenews.ci/cote-divoire-greve-de-la-fesci-plusieurs-etudiants-bastonnes-et-interpelles-sur-les-campus/,,7.539989,-5.54708,Nationwide,College or University,Protest or demonstration,Students,,Federal government,,Cote d'lvoire-8
Cote d'lvoire-March-2018,Cote d'lvoire,14-Mar-18,,Yamoussoukro,The National Coordination of Teachers of Higher Education and Researchers embarked on a strike.,https://www.akody.com/cote-divoire/news/bilan-de-la-1ere-journee-de-la-greve-de-protestation-dans-les-universites-et-grandes-ecole-publiques-de-cote-d-ivoire-315822,,7.539989,-5.54708,Nationwide,College or University,,,,,,Cote d'lvoire-2
Cote d'lvoire-March-2018,Cote d'lvoire,12-Mar-18,,Yamoussoukro,The National Coordination of Teachers and Researchers of Côte d 'Ivoire (CNEC) go on strike to protest bad governance of universities.,http://echosmedias.ci/?p=articles&id=371,,7.539989,-5.54708,Nationwide,College or University,Strike OR Boycott,Teachers or Academic Staff,Other,Federal government,"Death occurred,Injury occurred,Arrest or detention",Cote d'lvoire-10
Djbouti-December-2012,Djbouti,30-Dec-12,Obock,Obock,Primary and Secondary school Students protest the lack of sporting infrastructure during a sporting event hosted by the minister of youth and sports,http://country.eiu.com/article.aspx?articleid=1850040169&Country=Djibouti&topic=Politics&subtopic_3,,11.9647465,43.2884071,Town,Public Space,Protest or demonstration,Students,Other,Federal government,,Djbouti-1
Egypt-May-2015,Egypt,21-May-15,Cairo,Ain Shams University,Students resign from the student union in protest of the death of a student at the hands of security operatives.,https://www.madamasr.com/en/2015/05/21/news/u/after-classmates-death-ain-shams-students-resign-from-union-in-protest/,https://www.masress.com/en/dailynews/259123,30.0759774,31.2811188,,College or University,Strike OR Boycott,Students,Solidarity protest,"School authority, Federal government",,Egypt-17
Egypt-March-2012,Egypt,22-Mar-12,Giza,Cairo University,Campus protest at University of Cairo. Link is a participants film of the protest.,https://media.858.ma/QH/player,,30.0227646,31.2073201,Major Urban Area,College or University,Protest or demonstration,Students,,,"Non-lethal violence (e.g., tear gas, rubber bullets),Arrest or detention",Egypt-1
Egypt-November-2015,Egypt,8-Nov-15,Giza,Qasr al-Aini Street,Nursing students in a private institution protest to demand government jobs.,https://www.madamasr.com/en/2015/11/08/news/u/student-nurses-arrested-for-protesting-lack-of-state-recognition-and-jobs/,,30.0130557,31.2088526,Major Urban Area,Public Space,Protest or demonstration,Students,Other,Local government,,Egypt-26
Egypt-December-2017,Egypt,11-Dec-17,Benha,Benha University,Students protest the 'Judaization' of Jerusalem and the American recognition of Jerusalem as Israel's capital.,http://www.bu.edu.eg/BUNews/21822,,30.471165,31.1816293,Major Urban Area,College or University,Protest or demonstration,"Students,Teachers or Academic Staff,Non-academic staff,School administrators",Other,International political or economic entity,,Egypt-3
Egypt-February-2012,Egypt,11-Feb-12,Heliopolis,Heliopolis,Private school students march to call for immediate handover of the military council. Many universities gave students the day off to march. They were joined by parents and teachers to ensure their safety. The march acted as a memorial for a student who was killed. They marched from Ramses Street and went to Heart of Jesus Church in Heliopolis.,http://english.ahram.org.eg/NewsContent/1/64/34260/Egypt/Politics-/Private-Schools-students-march-on-first-day-of-str.aspx,,30.0444196,31.2357116,Major Urban Area,Public Space,"Protest or demonstration,Strike OR Boycott","Students,Teachers or Academic staff,Parents or Guardians",Other,Federal government,"Non-lethal violence (e.g., tear gas, rubber bullets),Injury occurred,arrest or detention",Egypt-59
Egypt-October-2013,Egypt,10-Oct-13,,"Nahda Square,Cairo University","Members of the Muslim Brotherhood organize anti-military protests at state universities throughout the country. The protest began in the ""aftermath of the harsh repression of Brotherhood marches on October 6 that left 53 demonstrators dead."" Clashes between police and protestors are reported, with injuries and dozens of arrests occurring. Protests location include, Cairo University, Aswan University’s Faculty of Engineering, Mansoura and Alexandria Universities, Cairo University’s Faculty of Veterinary Sciences.",https://www.madamasr.com/en/2013/10/10/news/u/students-protest-across-egypt-following-october-6-violence/,,26.820553,30.802498,Nationwide,College or University,Protest or demonstration,Students,Other,,,Egypt-16
Egypt-December-2017,Egypt,10-Dec-17,,"Al-Azhar University,Ain Shams University,American University in Cairo","Students, lecturers, and administrators of various universities protest the recognition of Jerusalem as the capital of Israel, by the US government",http://english.ahram.org.eg/NewsContent/1/64/283099/Egypt/Politics-/Several-hundred-Egyptian-university-students-prote.aspx,,26.820553,30.802498,Nationwide,College or University,Protest or demonstration,"Students, Teachers or Academic staff, School administrators",Other,International political or economic entity,,Egypt-7
Egypt-April-2016,Egypt,15-Apr-16,,"Cairo University,Tanta University,Fayoum University,Alexandria University","Students in public universities nationwide protest the transfer of sovereign power over the Red Sea Islands, Tiran and Sanafir from Egypt to Saudi Arabia. Students labelled this protest ""Students Won't Sell."" Article states that this could be the largest nonpartisan student protest held at a public university since 2013. This protest followed the nationwide protest.",https://www.madamasr.com/en/2016/04/17/news/u/on-campus-protests-against-red-sea-island-transfer/,,26.820553,30.802498,Nationwide,College or University,Protest or demonstration,Students,Government policy,"Federal government,International political or economic entity",,Egypt-18
Egypt-October-2015,Egypt,1-Oct-15,,Kom Ombo,"Parents protest for better school conditions. Some parents blocked roads, while others threatened hunger strikes due to teacher absenteeism, overcrowded classrooms and costly private tuition for public schools. Protest events were recorded in Kom Ombo, Selwa Bahari, Faqqous, Minya al-Kamh, with the support of the Association of Students' Parents.",https://www.madamasr.com/en/2015/10/01/news/u/parents-protest-across-egypt-for-better-school-conditions/,,26.820553,30.802498,Nationwide,Public Space,"Protest or demonstration,Road block or occupation",Parents or Guardians,"School quality (food, water, electricity)",Federal government,"Non-lethal violence (e.g., tear gas, rubber bullets),Arrest or detention",Egypt-63
Egypt-November-2014,Egypt,30-Nov-14,,"Al-Azhar,Cairo,Ain Shams,and Helwan universities",Students protest the dismissal of charges brought against former president Mubarak and other officials of his regime.,https://www.madamasr.com/en/2014/11/30/news/u/nationwide-student-protests-demonstrate-against-mubarak-verdict/,,30.0576399,31.3151336,Nationwide,"Public Space,College or University",Protest or demonstration,Students,Government policy,Federal government,,Egypt-8
