Protest Name,Country Name,Date,Locality Name,Geographic Context (F1),School Name,Protest Location (F2),Description of Protest,Primary Source,Additional Sources,Event Type (F3),Actors Involved (F4),Causes (F5),Targets (F6),Characteristics (F7),LAT,LONG
Ghana-October-2015,Ghana,"October 28, 2015",Navrongo,Town,Awe Senior High School (AWESCO),Secondary School,Students riot to protest the cancellation of a planned entertainment night,https://www.todaygh.com/2-assistant-heads-53-students-thrown-riot/,,Riot,Students,Other,School authority,Non-lethal violence,10.8588225,-1.0693892
Ghana-June-2015,Ghana,"June 5, 2015",Kpalwega,Town,Bawku Technical Institute,Secondary School,"Students boycott meals to protest the promotion of a popular teacher, as they believed that his departure would affect their academic work",http://citifmonline.com/2015/06/05/students-boycott-meals-to-protest-promotion-of-beloved-teacher/,,Strike / boycott,Students,Other,,"Non-lethal violence,Arrest / detention",11.0505517,-0.2684597
Ghana-December-2017,Ghana,"December 2, 2017",Bolgatanga,Town,Bolgatanga Senior High School,Secondary School,Students protest the death of a student who died while being chased to morning assembly by the housemaster,https://www.myjoyonline.com/news/2014/December-2nd/big-boss-closes-down-after-death-of-student.php,,Riot,Students,Solidarity protest,School authority,,10.7748375,-0.8599591
Ghana-March-2018,Ghana,"March 19, 2018",Afigya Kwabre,Town,Aduman Senior High School,Secondary School,"Teachers strike to demand the resignation of the headmaster, after their petition for him to be sacked - signed by 85 out of 95 academic and non academic staff-went ignored",http://www.pulse.com.gh/communities/student/teachers-of-aduman-shs-on-another-sit-down-strike-id8137888.html,,Strike / boycott,Teachers / staff,Other,School authority,"Non-lethal violence,Arrest / detention",6.8266688,-1.6262448
Ghana-August-2015,Ghana,"August 3, 2015",Nalerigu,Town,Nalerigu Senior High School,Secondary School,"Students go on rampage after being stopped by the headmaster from organizing an entertainment event despite ongoing revision for exams. The students vandalized the headmaster's home, and stole computers from the newly constructed computer lab.",http://www.pulse.com.gh/news/riot-at-nalerigu-shs-24-students-arrested-school-closed-down-id4035144.html?-1778897633.1530127564,,Riot,Students,Other,School authority,Non-lethal violence,10.5262315,-0.3791118
Ghana-November-2016,Ghana,"November 26, 2016",Konongo Odumase,Town,Konongo Odumase Senior High School,Secondary School,"Students protest to demand the resignation of the headmistress, who they accused of illegally transferring 10 teachers",http://citifmonline.com/2016/11/26/konongo-odumase-shs-students-want-headmistress-sacked/,,Riot,Students,Accreditation / school policies,School authority,,6.6150095,-1.2270167
Ghana-September-2015,Ghana,"September 22, 2015",Koforidua,Town,Pope John Senior High School,Secondary School,"Students protest breakfast without bread, because they described it as malnourished food",http://www.pulse.com.gh/communities/student/rights-pope-john-shs-students-boycott-breakfast-without-bread-id4190198.html?-1778897633.1530127564=,,Protest,Students,School quality,School authority,Non-lethal violence,6.103378,-0.2692991
Ghana-January-2018,Ghana,"January 29, 2018",Lawra,Town,Erimon Senior High Technical School,Secondary School,Students went on rampage to protest school authorities and entertainment rules,https://www.nanansem.com/ghana/local-news/erimon-shs-closed-students-riot/,,Riot,Students,Accreditation / school policies,School authority,Non-lethal violence,10.6458978,-2.8826534
Ghana-October-2017,Ghana,"October 21, 2017",Bolgatanga,Town,Bolgatanga Senior High School,Secondary School,Students protest the death of a student,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Soldiers-Police-storm-Bolga-SHS-as-another-student-dies-592827,,Riot,Students,Solidarity protest,School authority,,10.7748375,-0.8599591
Ghana-January-2016,Ghana,"January 18, 2016",Accra,Nationwide,Teachers’ and Education Workers’ Union (TEWU),Public Space,The Union of Teachers and Educational Staff strike to demand that the government keeps it promise of increasing salaries of academic staff of higher institutions,http://www.africanews.com/2016/01/18/teachers-union-in-ghana-strike-over-salary-discrepancies/,,Strike / boycott,Teachers / staff,"Staff working conditions,Other",Federal government,,7.946527,-1.023194
Ghana-March-2018,Ghana,"March 1, 2018",,Nationwide,National Labor Commission,Government Property,"The Technical University Teachers Association of Ghana embarked on a strike to protest the planned amendment of Act 922. grant power to the National Council for Technical Education to perform functions which generally fall within the purview of the Governing Councils, the Academic Boards and the Principal Officers of Universities in Ghana.",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/NLC-meets-striking-Technical-University-Teachers-632470,http://citifmonline.com/2018/03/01/tutag-to-strike-over-ntces-attempt-to-undermine-technical-universities/,Strike / boycott,Teachers / staff,Government policy,Federal government,,7.946527,-1.023194
Ghana-March-2018,Ghana,"March 2, 2018",,Nationwide,Technical University Teachers Association of Ghana (TUTAG),College or University,"The Technical University Teachers Association of Ghana (TUTAG) embarked on a strike to protest the proposed amendment of 2016 Technical Universities Act, to strip them of autonomy",http://kasapafmonline.com/2018/03/02/technical-university-teachers-association-ghana-begins-strike-today/,,Strike / boycott,Teachers / staff,Government policy,Federal government,,7.946527,-1.023194
Ghana-September-2017,Ghana,"September 5, 2017",,Nationwide,Ghana National Union of Technical Students (GNUTS),Public Space,The Ghana National Union of Technical Students (GNUTS) has declared a nationwide boycott of lectures in all technical universities and polytechnics to protest government’s failure to constitute governing councils for the various Technical Universities,http://citifmonline.com/2017/09/05/technical-students-union-declares-nationwide-boycott-of-lectures/,,Strike / boycott,Teachers / staff,Other,School authority,,7.946527,-1.023194
Ghana-May-2017,Ghana,"May 15, 2017",,Nationwide,Accra,Public Space,Newly recruited teachers from the country's Colleges of Education strike in demand of payment of outstanding arrears,http://www.pulse.com.gh/communities/student/industrial-action-newly-recruited-teachers-threaten-nationwide-strike-over-salary-arrears-id6678367.html,,Strike / boycott,Teachers / staff,"Staff working conditions,Other",Federal government,,7.946527,-1.023194
Ghana-September-2017,Ghana,"September 18, 2017",,Nationwide,University Teachers Association of Ghana,Public Space,University Teachers Association of Ghana embarked on a solidarity strike with lecturers of the University of Education Winneba. However it was called off after 12 hours,http://citifmonline.com/2017/09/18/utag-suspends-ineffective-strike-over-uew-saga/,,Strike / boycott,Teachers / staff,Solidarity protest,,,7.946527,-1.023194
Ghana-November-2017,Ghana,"November 16, 2017",,Nationwide,Wesley College of Education (WESCO),College or University,"Teachers of all 38 colleges of education in the country embarked on a strike to demand payment of arrears dating back to 2012, when the schools were elevated to tertiary education status",https://www.todaygh.com/colleges-education-deserted-following-strike/,,Strike / boycott,Teachers / staff,"Staff working conditions,Other",Federal government,,7.946527,-1.023194
Ghana-May-2014,Ghana,"May 17, 2014",,Nationwide,Ghana National Union of Technical Students (GNUTS),Public Space,Students demonstrate the government's decision to remove subsidies for public universities,http://choicism.com/news/src-s-in-ghana-and-nugs-to-hit-a-nationwide-demonstration/,,Protest,Students,Other,School authority,,7.946527,-1.023194
Ghana-March-2018,Ghana,"March 26, 2018",,Nationwide,Ghana National Union of Technical Students (GNUTS),Public Space,The National Union of Ghana students embarked on a 'red week strike' to protest the US-Ghana military deal.,https://starrfmonline.com/2018/03/26/nugs-hit-street-ghana-us-defence-deal/,http://ghananewsonline.com.gh/nugs-whips-students-in-line-for-massive-demo/,"Protest,March",Students,Government policy,Federal government,,7.946527,-1.023194
Ghana-November-2017,Ghana,"November 28, 2017","Accra, Tema, Ho",Major Urban Area,School of Hygiene,College or University,Students protest the government's failure to restore their allowances,http://www.pulse.com.gh/communities/student/protest-hygiene-students-boycott-classes-id7683308.html,https://www.myjoyonline.com/news/2017/november-28th/students-of-hygiene-protest-to-demand-payment-of-allowances.php,Protest,Students,Other,Federal government,Non-lethal violence,5.5385887,-0.2327161
Ghana-March-2016,Ghana,"March 16, 2016",Tamale,Capital City,Northern School of Business (NOBISCO),Secondary School,Students went on rampage and destroyed parts of the ICT facility,http://citifmonline.com/2016/05/19/committee-releases-report-on-nobisco-students-riot/,,Riot,Students,,School authority,,9.4392392,-0.8514166
Ghana-April-2018,Ghana,"April 12, 2018",Koforidua,Capital City,Koforidua Technical University (KTU),College or University,"Students and Lecturers protest to demand the resignation of the University’s Council Chairman, Prof. Obeng Apoli, who they accuse of micromanagement, and unnecessary interference in student and lecturer affairs",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Koforidua-Technical-University-students-lecturers-protest-against-school-council-chairman-642643,,Protest,"Students,Teachers / staff",Other,Federal government,Non-lethal violence,6.0645664,-0.2628136
Ghana-March-2017,Ghana,"March 16, 2017",Tamale,Capital City,Dabokpa Technical Institute,Secondary School,Final year students vandalized pans containing lunch and supper,http://citifmonline.com/2017/03/16/dabokpa-technical-institute-shut-down-after-students-riot/,,Property damage,Students,,School authority,,9.3889213,-0.8166046
Ghana-March-2018,Ghana,"March 12, 2018",Cape Coast,Capital City,Christ the King Senior High School,Secondary School,Students protest against encroachment of school land by developers,http://www.pulse.com.gh/communities/student/students-of-christ-the-king-protest-over-encroachment-id8107360.html,,Protest,Students,Other,,,5.1442358,-1.2671403
Ghana-April-2017,Ghana,"April 1, 2017",Asokore Mampong,Capital City,Kumasi Academy,Secondary School,"Students and parents demonstrate against school authorities, demanding to be released from school over mysterious student deaths",http://irepmyschool.com/2017/04/01/kumasi-academy-students-protest-mysterious-deaths/,,Protest,"Students,Parents / Guardians",Other,School authority,Non-lethal violence,6.7084351,-1.5710912
Ghana-October-2016,Ghana,"October 8, 2016",Accra,Capital City,University of Ghana,College or University,Students of residence halls clash over over the procession routes of incoming 100 level students,http://www.pulse.com.gh/communities/student/unrest-violent-clashes-reported-at-university-of-ghana-campus-id5581919.html,,Riot,Students,Other,,,5.650562,-0.1962244
Ghana-April-2015,Ghana,"April 15, 2015",Accra,Capital City,University of Ghana,College or University,Students protest the government meddling in the SRC elections,https://www.myjoyonline.com/news/2015/April-15th/legon-students-protest-govt-interference-in-src-election.php,,March,Students,Other,School authority,,5.650562,-0.1962244
Ghana-March-2016,Ghana,"March 17, 2016",Accra,Capital City,Ghana Technology University College,College or University,Students protest to demand more favorable learning conditions,https://www.pulse.com.gh/communities/student/students-protest-gtuc-students-demonstrate-over-poor-learning-conditions-id4817699.html,,Protest,Students,School quality,School authority,,5.5961409,-0.2235428
Ghana-September-2016,Ghana,"September 23, 2016",Accra,Capital City,University of Ghana,College or University,Students and Academics embark on a protest to demand the removal of a statue of Gandhi,http://time.com/4505357/university-ghana-racist-gandhi-statue/,https://youtu.be/EIe4BB89BLc,"Protest,Online activism","Students,Teachers / staff",Other,School authority,,5.650562,-0.1962244
Ghana-May-2017,Ghana,"May 18, 2017",Accra,Capital City,Ghana School of Law,College or University,Students boycott examination over mix-up in the questions,https://www.myjoyonline.com/news/2017/may-18th/ghana-school-of-law-students-boycott-exam-over-mix-up.php,,Strike / boycott,Students,Other,School authority,,5.5462279,-0.2054347
Ghana-July-2000,Ghana,"July 1, 2000",Accra,Capital City,University of Ghana,College or University,Students protest to demand more funding for the Ghana education trust fund,http://www.un.org/en/africarenewal/subjindx/142educ5.htm,,Protest,Students,Government policy,Federal government,,5.650562,-0.1962244
Ghana-October-2015,Ghana,"October 22, 2015",Accra,Capital City,Accra Polytechnic,College or University,Students protest the school's authority to cede utility bills to them if the government does not come to their aid,http://www.pulse.com.gh/communities/student/demonstration-accra-polytechnic-students-agitate-over-utility-tariff-id4285885.html,,Protest,Students,"School quality,Accreditation / school policies",School authority,,5.554086,-0.205594
Ghana-July-2011,Ghana,"July 28, 2011",Accra,Capital City,University of Ghana,College or University,Students protest increases in the academic and residential fees,http://www.universityworldnews.com/article.php?story=20110804111917385,,Protest,Students,School fees,Federal government,,5.650562,-0.1962244
Ghana-October-2017,Ghana,"October 13, 2017",Accra,Capital City,Accra Technical University,College or University,Teacher's embark on strike to protest deplorable university conditions,http://citifmonline.com/2017/10/13/accra-technical-university-students-upset-with-lecturers-strike/,,Strike / boycott,Teachers / staff,School quality,School authority,,5.554086,-0.205594
Ghana-October-2017,Ghana,"October 9, 2017",Accra,Capital City,University of Professional Studies,College or University,"Students protest the demand the removal of a fuel station situated behind the school, after a gas explosion at a nearby fuel station",http://www.pulse.com.gh/communities/student/protest-upsa-students-demonstrate-against-fuel-station-id7433555.html,,Protest,Students,Other,School authority,,5.6618605,-0.165504
Ghana-February-2018,Ghana,"February 21, 2018",Accra,Capital City,GIMPA  law school,College or University,"Students protest the compulsory long essay requirement for graduating students, which they believe students are ill prepared for",https://starrfmonline.com/2018/02/21/gimpa-law-students-stage-protest-long-essays/,,Protest,Students,Accreditation / school policies,School authority,,5.633809,-0.200238
Ghana-July-2017,Ghana,"July 24, 2017",Accra,Capital City,University of Ghana,College or University,Students protest high tuition fees,https://www.modernghana.com/news/477223/nugs-protest-unjustifiable-levies-by-university-of-ghana-sch.html,http://www.pulse.com.gh/communities/student/ugfeesmustfall-public-universities-ordered-to-reverse-high-tuition-fees-id7149314.html,Online activism,Students,School fees,School authority,Arrest / detention,5.650562,-0.1962244
Ghana-May-2018,Ghana,"May 28, 2018",Accra,Capital City,University of Ghana,Online,Students of the University of Ghana began an online campaign to urge the government to open the University of Ghana Medical Center - this included an online petition,https://citinewsroom.com/2018/05/28/ghanaians-start-openugmcnow-campaign-on-social-media/,,Online activism,Students,Other,Federal government,,5.6037168,-0.1869644
Ghana-April-2018,Ghana,"April 16, 2018",Accra,Capital City,Ghana Technology University College,College or University,Lecturers strike over unpaid salaries,https://citinewsroom.com/2018/04/16/gtuc-lecturers-strike-frustrates-students-puts-exams-in-doubt/,,Strike / boycott,Teachers / staff,"Staff working conditions,Other",School authority,,5.5961409,-0.2235428
Ghana-December-2018,Ghana,"December 2, 2018",Accra,Capital City,Ghana Institute of Journalism,College or University,,https://twitter.com/Citi973/status/1069265619810508800,,,,,School authority,,5.5631759,-0.1911187
Guinea-April-2017,Guinea,"April 18, 2017",Kankan,Major Urban Area,Julius Nyerere University of Kankan,College or University,Students protest to demand their scholarships,https://guineediversite.com/index.php/2017/04/18/grogne-a-luniversite-julius-nyerere-de-kankan/,,Protest,Students,Accreditation / school policies,School authority,,10.3750878,-9.3014798
Guinea-June-2018,Guinea,"June 18, 2018",Kankan,Major Urban Area,Julius Nyerere University of Kankan,,Students protest to demand their scholarships,http://universguinee.info/2018/06/30/kankan-les-etudiants-de-luniversite-battent-le-pave-et-reclament-leurs-bourses-dentretient/,,Protest,Students,Accreditation / school policies,School authority,,10.3750878,-9.3014798
Guinea-April-2016,Guinea,"April 25, 2016",Kankan,Major Urban Area,Julius Nyerere University of Kankan,College or University,Students protest non issuance of diplomas to graduated students due to eh university's lack of a rector,https://guineematin.com/2016/04/25/manifestation-a-kankan-anciens-etudiants-perturbent-cours-a-luniversite-julius-nyerere/,,Protest,Students,Accreditation / school policies,School authority,,10.3750878,-9.3014798
Guinea-February-2018,Guinea,"February 12, 2018",,Nationwide,Conakry,,"Teachers go on strike, organized by the  Free Union of Teachers and Researchers of Guinea (SLECG)",https://aminata.com/guinee-les-ecoles-paralysees-par-un-mouvement-de-greve-des-enseignants/,,,Teachers / staff,,,Non-lethal violence,9.945587,-9.696645
Guinea-October-2018,Guinea,"October 4, 2018",,Nationwide,Conakry,,"Teachers embark on an indefinite strike, led by the SLECG group",https://www.news24.com/Africa/News/guinea-teachers-launch-unlimited-strike-20181003,,Strike / boycott,Teachers / staff,Government policy,Federal government,Non-lethal violence,9.945587,-9.696645
Guinea-February-2017,Guinea,"February 21, 2017",Conakry,Capital City,Conakry,Public Space,Students protest a teachers' strike that lasted for weeks,https://www.news24.com/Africa/News/students-protest-amid-school-closures-in-guinea-201702204,,Protest,Students,Government policy,Local government,Non-lethal violence,9.6411855,-13.578401
Guinea-October-2018,Guinea,"October 23, 2018",Conakry,Capital City,Conakry,,"Students protest the teachers strike, and demand that teachers return to work",https://www.myjoyonline.com/world/2018/October-23rd/guinea-police-fire-teargas-at-student-protest.php,,,Students,Government policy,"School authority,Local government",Non-lethal violence,9.6411855,-13.578401
Guinea-December-2001,Guinea,"December 18, 2001",Conakry,Capital City,Gamal Abdel Nasser University of Conakry,College or University,Students heckle the university rector.,https://fr.allafrica.com/stories/200112180372.html,,Protest,Students,,School authority,Non-lethal violence,9.5442259,-13.676072
Guinea-March-2018,Guinea,"March 6, 2018",Conakry,Capital City,Gamal Abdel Nasser University of Conakry,College or University,Students of the faculty of medicine and Odontostomatology protest to demand registration,http://www.visionguinee.info/2018/03/06/manifestation-detudiants-a-luniversite-gamal-abdel-nasser-de-conakry/,https://guineematin.com/2018/03/06/universite-gamal-abdel-nasser-de-conakry-plusieurs-degats-causes-etudiants-colere/,Protest,Students,Accreditation / school policies,School authority,"Non-lethal violence,Death occurred",9.5442259,-13.676072
Guinea-March-2018,Guinea,"March 14, 2018",Conakry,Capital City,Conakry,Public Space,"People protest increase in teachers' wages, and results of the long awaited municipal elections",https://www.nytimes.com/2018/03/14/world/africa/guinea-protests-killed.html,,Protest,"Teachers / staff,Community members",Government policy,Local government,"Non-lethal violence,Death occurred",9.6411855,-13.578401
Guinea-November-2017,Guinea,"November 13, 2017",Conakry,Capital City,Hamdallaye-Tour Eifel,College or University,"Teachers launch a strike, and students protest the strike",https://aminata.com/urgent-greve-enseignants-etudiant-ivoirien-tue-balles-a-conakry/,,"Protest,Strike / boycott","Students, Teachers / staff",Government policy,Federal government,,9.6411855,-13.578401
Guinea Bissau-April-2016,Guinea Bissau,"April 7, 2016",,Nationwide,Bissau,"Primary School,Secondary School",Teachers and health workers strike over unpaid wages,http://www.africanews.com/2016/04/07/guinea-bissau-health-workers-join-teachers-in-nationwide-strike-over-wages/,,Strike / boycott,Teachers / staff,Government policy,Federal government,,11.803749,-15.180413
Guinea Bissau-November-2018,Guinea Bissau,"November 8, 2018",Bissau,Nationwide,Bissau,Public Space,Students demonstrate in protest of the teachers strike,http://french.xinhuanet.com/afrique/2018-11/09/c_137593125.htm,,Protest,Students,"Government policy,Solidarity protest",Federal government,,11.8632196,-15.584323
Guinea Bissau-October-2018,Guinea Bissau,"October 2, 2018",,Nationwide,National Union of Teachers,Public Space,"Members of the National Union of Teachers (Sinaprof), the Democratic Union of Teachers (Sindeprof) and the Higher Education Union strike to demand better wages and working conditions",http://french.xinhuanet.com/2018-11/23/c_137625148.htm,,Strike / boycott,Teachers / staff,Government policy,Federal government,Non-lethal violence,11.803749,-15.180413
Kenya-July-2018,Kenya,"July 1, 2018",Kisumu,Major Urban Area,Kisumu Girls High School,Secondary School,Students went on rampage to protest mismanagement by the school administration x,https://www.nation.co.ke/counties/migori/Migori-school-closed-over-student-unrest/1183306-4357606-t756thz/index.html,,Riot,Students,School quality,School authority,,-0.0978362,34.7596908
Kenya-October-2017,Kenya,"October 16, 2017",Meru,Major Urban Area,Meru University,College or University,"Students protest fee increment. It began as an online campaign, but following a post urging students to turn out, it turned into physical action",https://www.campusradio.co.ke/featured/meru-university-main-campus-closed-after-strike-turns-ugly/,,"Protest,Online activism",Students,School fees,School authority,Non-lethal violence,0.0464243,37.6528424
Kenya-October-2015,Kenya,"October 19, 2015",Mombasa,Major Urban Area,Technical University of Mombasa,College or University,Students riot in protest of the increase in tuition fees,https://radiojambo.co.ke/mombasa-technical-university-closed-down-indefinitely-over-student-unrest/,,Riot,Students,School fees,School authority,Non-lethal violence,-4.0375477,39.6684099
Kenya-March-2017,Kenya,"March 15, 2017",Kisumu,Major Urban Area,Maseno School,College or University,Students riot in protest of  the interdiction of the principal.,https://www.nation.co.ke/news/education/Maseno-students-protests/2643604-3850350-13io9k1/index.html,,Riot,Students,"Solidarity protest,Other",,,-0.0014392,34.6047427
Kenya-November-2017,Kenya,"November 17, 2017",Mombasa,Major Urban Area,Technical University of Mombassa,College or University,Lecturers go on strike to demand higher pay,https://www.the-star.co.ke/news/2017/11/17/tum-closes-over-lecturers-strike-students-asked-to-leave_c1671630,,Strike / boycott,Teachers / staff,"Staff working conditions,Other",School authority,Non-lethal violence,-4.0375477,39.6684099
Kenya-November-2017,Kenya,"November 23, 2017",Nakuru,Town,Laikipia University,College or University,Students  protested the death of a student in a hit-and-run,http://theinformer.co.ke/9892/laikipia-university-closed-following-student-unrest/,,Riot,Students,Solidarity protest,School authority,,-0.354947,36.2022339
Kenya-October-2016,Kenya,"October 31, 2016",Meru,Town,Meru University of Science and Technology,College or University,Students protested the killing of a student leader by a police officer,https://www.must.ac.ke/closure-meru-university-science-technology-main-campus-nchiru/,,Protest,Students,Solidarity protest,,"Non-lethal violence,Injury occurred,Arrest / detention",0.134925,37.708416
Kenya-May-2018,Kenya,"May 20, 2018",Isiolo,Town,Isiolo Boys High School,Secondary School,"Student clashes led to property damage in the school, and the arrest of 28 students",https://www.nation.co.ke/counties/isiolo/28-students-questioned-after-unrest-at-school/1183266-4573086-4to1nz/index.html,,Riot,Students,,,,0.3441575,37.5826192
Kenya-June-2018,Kenya,"June 3, 2018",Murang’a,Town,Kiunyu Girls High School,Secondary School,Most students stormed out of the campus in the middle of the night for unknown reasons,https://www.nation.co.ke/news/education/Student-unrest-leads-to-closure-of-two-schools-/2643604-4596060-9cehkz/index.html,,March,Students,,,Non-lethal violence,-0.9529744,37.0183977
Kenya-July-2018,Kenya,"July 2, 2018",Ng’iya,Town,Ng’iya girls’ high school,College or University,Students go on rampage to protest mistreatment by the boarding mistress,http://www.kbc.co.ke/ngiya-girls-school-closed-indefinitely-following-student-unrest/,,Riot,Students,School quality,School authority,Non-lethal violence,0.0401953,34.3716263
Kenya-March-2018,Kenya,"March 6, 2018",Kibabii,Town,St Mary’s High School,Secondary School,Students protest the appointment of a new principal,http://educationnews.co.ke/2018/03/06/st-marys-kibabii-high-protest-over-new-principal/,,Protest,Students,Other,,,0.6213215,34.5234901
Kenya-July-2018,Kenya,"July 4, 2018",Saiya,Town,Maranda Boys High School,Secondary School,"Students protest stringent rules at the school, leading to an indefinite closure",http://www.pulselive.co.ke/news/local/maranda-boys-high-school-closed-over-student-unrest-id8577397.html,,Protest,Students,Accreditation / school policies,Federal government,,-0.0888043,34.2265012
Kenya-March-2016,Kenya,"March 14, 2016",Bungoma,Town,Kibabii University,College or University,"The university was closed after disruption of lectures by various groups of students campaigning for various positions in the students’ governing council.
​",https://www.standardmedia.co.ke/ureport/story/2000195214/varsity-closed-indefinitely-following-student-unrest,,Protest,Students,Other,School authority,,0.6174969,34.5236778
Kenya-June-2018,Kenya,"June 4, 2018",Isiolo,Town,Isiolo Barracks Secondary School,Secondary School,Students protested the transfer of the headteacher,https://www.nation.co.ke/news/education/Student-unrest-leads-to-closure-of-two-schools-/2643604-4596060-9cehkz/index.html,,Protest,Students,Other,School authority,"Non-lethal violence,Injury occurred",0.3593654,37.6122308
Kenya-January-2015,Kenya,"January 19, 2015",Lang’ata,Town,Lang’ata Road Primary School,Primary School,"Students, parents, and other members of community protested the acquisition of their school’s land - particularly the playground by private developers.",https://www.nation.co.ke/counties/nairobi/Langata-school-demo-Ombudsman-report/1954174-2826422-7adsj/index.html,,Protest,"Students,Parents / Guardians,Community members",Other,Private entity,,-1.3165957,36.8124098
Kenya-December-2017,Kenya,"December 13, 2017",Eldoret,Town,University of Eldoret,College or University,Engineering students boycott classes over accreditation issues,https://hivisasa.com/posts/university-of-eldoret-engineering-students-boycott-lectures,,Strike / boycott,Students,Accreditation / school policies,School authority,Non-lethal violence,0.5207424,35.2763144
Kenya-May-2018,Kenya,"May 27, 2018",West Pokot,Town,Ortum Boys' High School,Secondary School,"Students go on rampage, demanding assistance to cheat in the Kenya Certificate of Secondary Education examinations",https://www.kenyans.co.ke/news/29791-form-four-students-strike-demanding-kcse-exam-leakage,,Riot,Students,Other,School authority,,1.4398353,35.3553021
Kenya-June-2017,Kenya,"June 9, 2017",Thika,Town,Mount Kenya University,College or University,Students staged a peaceful protest over mushrooming business structures along General Kago Road near their institution arguing that they were a security risk and a source of illicit drugs and alcohol.,http://www.thikatowntoday.co.ke/2017/06/mku-students-protest-paralyses-business.html,,Protest,Students,Other,School authority,Non-lethal violence,-1.0465364,37.0851757
Kenya-October-2017,Kenya,"October 9, 2017",Thika,Town,Mount Kenya University,College or University,"Students went on rampage for unknown reasons, leading to a school closure",https://upesinews.co.ke/2017/10/09/mt-kenya-university-main-campus-thika-closed-indefinitely-following-student-unrest/,,Riot,Students,,,,-1.0465364,37.0851757
Kenya-March-2018,Kenya,"March 28, 2018",Rongai,Town,Anthinai Day Secondary School,Secondary School,"Students protested the death of a student, who drowned in a river near the school. Students protested and threatened to burn down the school",https://citizentv.co.ke/news/nakuru-school-closed-after-death-of-student-195214/,,Protest,Students,Solidarity protest,,,-1.3938636,36.7442377
Kenya-June-2017,Kenya,"June 3, 2017",Thika,Town,Mang’u High School,Secondary School,Students  staged a peaceful walk out to protest against  ‘victimisation and preferential treatment’ by the administration.,http://www.thikatowntoday.co.ke/2017/06/mangu-high-school-students-protest.html,https://www.knowledgebylanes.co.ke/mangu-high-school-students-strike-over-colleagues-suspension/,Protest,Students,Accreditation / school policies,School authority,,-1.0708579,37.0469284
Kenya-April-2018,Kenya,"April 28, 2018",Garissa,Town,Garissa High School,Secondary School,Students protest encroachment of school land,https://www.the-star.co.ke/news/2018/04/25/garissa-students-protest-grabbing-of-school-land_c1748673,,Protest,Students,Other,,,-0.4522533,39.6489122
Kenya-September-2011,Kenya,"September 6, 2011",,Nationwide,Kenya National Union of Teachers,Public Space,"Public school teachers begin strike to pressure the government into giving in the their long list of demands, which includes employing 28,000 new teachers",http://www.lexisnexis.com/lnacui2api/results/docview/docview.do?docLinkInd=true&risb=21_T27694847273&format=GNBFI&sort=RELEVANCE&startDocNo=26&resultsUrlKey=29_T27694847277&cisb=22_T27694847276&treeMax=true&treeWidth=0&csi=363674&docNo=26,,Strike / boycott,Teachers / staff,,Federal government,,-0.023559,37.906193
Kenya-June-2013,Kenya,"June 25, 2013",,Nationwide,Kenya National Union of Teachers,Public Space,Kenya National Union of Teachers (Knut) called a strike to pressure the government into honoring a 1997 payment agreement,https://www.businessdailyafrica.com/news/Learning-disrupted-as-teachers-strike-begins-/539546-1894138-x8y8dx/index.html,https://www.nation.co.ke/news/Learning-disrupted-as-teachers-strike-begins-/1056-1893836-xr4ucm/index.html,Strike / boycott,Teachers / staff,"Staff working conditions,Other",Federal government,,-0.023559,37.906193
Kenya-January-2015,Kenya,"January 5, 2015",,Nationwide,Kenya National Union of Teachers,Public Space,The Kenya Union of Post-Primary Education Teachers (Kuppet) and the Kenya National Union of Teachers (KNUT) organized a strike in order to demand a 300% pay raise,https://www.nation.co.ke/news/Kuppet-declines-to-call-off-teachers-strike/1056-2592930-xk6f4oz/index.html,,Strike / boycott,Teachers / staff,"Staff working conditions,Other",Federal government,,-0.023559,37.906193
Kenya-November-2011,Kenya,"November 11, 2011",,Nationwide,"Egerton University,Masinde Muliro University of Science and Technology",College or University,"Two of Kenya's seven public universities closed, as university lecturers embarked on a strike",https://www.nation.co.ke/news/Two-varsities-closed-as-lecturers-strike-bites/1056-1271310-ye1tbfz/index.html,,Strike / boycott,Teachers / staff,"Staff working conditions,Other",Federal government,Non-lethal violence,-0.023559,37.906193
Kenya-December-2013,Kenya,"December 16, 2013",Nairobi,Nationwide,University of Nairobi,College or University,"Students riot to protest the death of two students, causing a school closure",http://www.lexisnexis.com/lnacui2api/results/docview/docview.do?docLinkInd=true&risb=21_T27694847273&format=GNBFI&sort=RELEVANCE&startDocNo=51&resultsUrlKey=29_T27694847277&cisb=22_T27694847276&treeMax=true&treeWidth=0&csi=10962&docNo=60,,Riot,Students,Solidarity protest,Federal government,,-1.2803586,36.8162641
Kenya-March-2018,Kenya,"March 1, 2018",,Nationwide,University Academic Staff Union,College or University,Lecturers strike to demand higher pay,http://kenyayote.com/kenya-university-lecturers-strike-latest-news-uasu-kusu-cba-demands/,https://www.the-star.co.ke/news/2018/05/04/strike-on-kenyatta-university-lying-to-students-uasu-and-kusu_c1754084,Strike / boycott,Teachers / staff,"Staff working conditions,Other",,,-0.023559,37.906193
